name,bit_width
model.model.layers.0.linear_attn.in_proj_ba,4
model.model.layers.0.linear_attn.in_proj_qkvz,4
model.model.layers.0.linear_attn.out_proj,4
model.model.layers.0.mlp.experts.down_proj.expert_0,4
model.model.layers.0.mlp.experts.down_proj.expert_1,4
model.model.layers.0.mlp.experts.down_proj.expert_10,4
model.model.layers.0.mlp.experts.down_proj.expert_100,4
model.model.layers.0.mlp.experts.down_proj.expert_101,4
model.model.layers.0.mlp.experts.down_proj.expert_102,4
model.model.layers.0.mlp.experts.down_proj.expert_103,4
model.model.layers.0.mlp.experts.down_proj.expert_104,4
model.model.layers.0.mlp.experts.down_proj.expert_105,4
model.model.layers.0.mlp.experts.down_proj.expert_106,4
model.model.layers.0.mlp.experts.down_proj.expert_107,4
model.model.layers.0.mlp.experts.down_proj.expert_108,4
model.model.layers.0.mlp.experts.down_proj.expert_109,4
model.model.layers.0.mlp.experts.down_proj.expert_11,4
model.model.layers.0.mlp.experts.down_proj.expert_110,4
model.model.layers.0.mlp.experts.down_proj.expert_111,4
model.model.layers.0.mlp.experts.down_proj.expert_112,4
model.model.layers.0.mlp.experts.down_proj.expert_113,4
model.model.layers.0.mlp.experts.down_proj.expert_114,4
model.model.layers.0.mlp.experts.down_proj.expert_115,4
model.model.layers.0.mlp.experts.down_proj.expert_116,4
model.model.layers.0.mlp.experts.down_proj.expert_117,4
model.model.layers.0.mlp.experts.down_proj.expert_118,4
model.model.layers.0.mlp.experts.down_proj.expert_119,4
model.model.layers.0.mlp.experts.down_proj.expert_12,4
model.model.layers.0.mlp.experts.down_proj.expert_120,4
model.model.layers.0.mlp.experts.down_proj.expert_121,4
model.model.layers.0.mlp.experts.down_proj.expert_122,4
model.model.layers.0.mlp.experts.down_proj.expert_123,4
model.model.layers.0.mlp.experts.down_proj.expert_124,4
model.model.layers.0.mlp.experts.down_proj.expert_125,4
model.model.layers.0.mlp.experts.down_proj.expert_126,4
model.model.layers.0.mlp.experts.down_proj.expert_127,4
model.model.layers.0.mlp.experts.down_proj.expert_128,4
model.model.layers.0.mlp.experts.down_proj.expert_129,4
model.model.layers.0.mlp.experts.down_proj.expert_13,4
model.model.layers.0.mlp.experts.down_proj.expert_130,4
model.model.layers.0.mlp.experts.down_proj.expert_131,4
model.model.layers.0.mlp.experts.down_proj.expert_132,4
model.model.layers.0.mlp.experts.down_proj.expert_133,4
model.model.layers.0.mlp.experts.down_proj.expert_134,4
model.model.layers.0.mlp.experts.down_proj.expert_135,4
model.model.layers.0.mlp.experts.down_proj.expert_136,4
model.model.layers.0.mlp.experts.down_proj.expert_137,4
model.model.layers.0.mlp.experts.down_proj.expert_138,4
model.model.layers.0.mlp.experts.down_proj.expert_139,4
model.model.layers.0.mlp.experts.down_proj.expert_14,4
model.model.layers.0.mlp.experts.down_proj.expert_140,4
model.model.layers.0.mlp.experts.down_proj.expert_141,4
model.model.layers.0.mlp.experts.down_proj.expert_142,4
model.model.layers.0.mlp.experts.down_proj.expert_143,4
model.model.layers.0.mlp.experts.down_proj.expert_144,4
model.model.layers.0.mlp.experts.down_proj.expert_145,4
model.model.layers.0.mlp.experts.down_proj.expert_146,4
model.model.layers.0.mlp.experts.down_proj.expert_147,4
model.model.layers.0.mlp.experts.down_proj.expert_148,4
model.model.layers.0.mlp.experts.down_proj.expert_149,4
model.model.layers.0.mlp.experts.down_proj.expert_15,4
model.model.layers.0.mlp.experts.down_proj.expert_150,4
model.model.layers.0.mlp.experts.down_proj.expert_151,4
model.model.layers.0.mlp.experts.down_proj.expert_152,4
model.model.layers.0.mlp.experts.down_proj.expert_153,4
model.model.layers.0.mlp.experts.down_proj.expert_154,4
model.model.layers.0.mlp.experts.down_proj.expert_155,4
model.model.layers.0.mlp.experts.down_proj.expert_156,4
model.model.layers.0.mlp.experts.down_proj.expert_157,4
model.model.layers.0.mlp.experts.down_proj.expert_158,4
model.model.layers.0.mlp.experts.down_proj.expert_159,4
model.model.layers.0.mlp.experts.down_proj.expert_16,4
model.model.layers.0.mlp.experts.down_proj.expert_160,4
model.model.layers.0.mlp.experts.down_proj.expert_161,4
model.model.layers.0.mlp.experts.down_proj.expert_162,4
model.model.layers.0.mlp.experts.down_proj.expert_163,4
model.model.layers.0.mlp.experts.down_proj.expert_164,4
model.model.layers.0.mlp.experts.down_proj.expert_165,4
model.model.layers.0.mlp.experts.down_proj.expert_166,4
model.model.layers.0.mlp.experts.down_proj.expert_167,4
model.model.layers.0.mlp.experts.down_proj.expert_168,4
model.model.layers.0.mlp.experts.down_proj.expert_169,4
model.model.layers.0.mlp.experts.down_proj.expert_17,4
model.model.layers.0.mlp.experts.down_proj.expert_170,4
model.model.layers.0.mlp.experts.down_proj.expert_171,4
model.model.layers.0.mlp.experts.down_proj.expert_172,4
model.model.layers.0.mlp.experts.down_proj.expert_173,4
model.model.layers.0.mlp.experts.down_proj.expert_174,4
